GRADUATION_YEAR;SCORE_NEM;GRADE_PERCENTILE;SCORE_RANKING;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
1961;496;8;497;674.5;1;1;1;3;6;6;1;0;1;1;0
1974;504;5;504;404.0;1;1;1;8;5;4;1;1;0;1;0
1965;400;9;413;0.0;1;1;1;8;4;4;0;1;1;0;1
2020;722;1;850;0.0;2;1;1;8;5;5;0;0;0;0;1
2020;653;1;823;353.0;1;1;1;1;7;7;0;1;1;0;0
2020;679;1;759;0.0;2;1;1;2;7;7;0;0;1;0;1
2020;559;5;568;389.5;2;2;1;1;7;7;0;0;0;0;1
2020;807;1;850;404.5;1;1;1;4;6;6;0;0;1;0;0
2020;582;2;736;370.0;1;1;1;1;7;7;0;1;1;0;1
2020;658;1;738;0.0;1;1;1;1;7;7;0;0;1;0;1
2020;597;2;632;0.0;1;1;1;2;7;7;0;1;1;0;1
2020;785;1;850;435.0;2;1;1;9;1;1;0;0;0;1;0
2020;732;1;780;360.5;1;1;2;7;1;1;0;0;0;0;0
2020;679;1;733;311.5;2;1;1;1;5;5;0;0;0;0;0
1971;550;4;553;548.5;1;1;1;10;4;4;1;1;1;0;0
2020;405;5;405;224.5;1;1;1;1;1;1;0;1;1;0;1
1984;699;4;701;0.0;2;1;3;10;9;11;1;0;1;0;1
2020;626;1;850;289.5;1;1;1;3;1;7;0;0;0;0;1
2020;584;2;641;324.5;2;2;1;7;5;1;0;0;0;1;1
2020;775;1;850;0.0;1;1;1;2;7;7;0;1;1;0;1
2020;589;5;595;342.5;2;1;1;1;5;10;0;1;1;0;0
1975;391;10;391;454.5;2;1;1;8;4;4;0;0;0;0;0
2020;541;5;557;305.0;2;1;1;7;1;1;0;0;0;1;1
2020;803;1;850;517.5;2;2;2;6;7;9;0;0;0;0;0
1974;760;1;850;0.0;1;1;1;6;11;11;1;0;0;0;0
2020;559;5;574;432.0;1;1;1;3;7;7;0;0;0;0;0
2020;444;7;444;247.5;1;1;1;1;7;7;0;1;0;0;1
1994;562;1;631;257.5;1;1;1;4;7;7;0;0;0;0;1
1982;631;6;631;517.5;2;2;1;9;11;12;0;0;1;1;0
1972;433;10;446;0.0;1;1;1;4;6;8;1;0;1;0;0
1982;738;3;747;0.0;2;2;2;10;6;12;1;0;1;0;1
1978;570;9;569;0.0;2;2;1;10;6;12;1;0;1;1;1
1979;689;5;685;0.0;2;2;1;9;6;11;1;0;1;1;1
2020;573;1;655;318.0;1;1;1;1;5;5;0;0;0;0;1
2020;690;1;780;0.0;2;1;1;1;5;5;0;0;0;0;1
