GRADUATION_YEAR;SCORE_NEM;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
1961;496;674.5;1;1;1;3;6;6;1;0;1;1;0
1974;504;404.0;1;1;1;8;5;4;1;1;0;1;0
1965;400;0.0;1;1;1;8;4;4;0;1;1;0;1
2020;722;0.0;2;1;1;8;5;5;0;0;0;0;1
2020;653;353.0;1;1;1;1;7;7;0;1;1;0;0
2020;679;0.0;2;1;1;2;7;7;0;0;1;0;1
2020;559;389.5;2;2;1;1;7;7;0;0;0;0;1
2020;807;404.5;1;1;1;4;6;6;0;0;1;0;0
2020;582;370.0;1;1;1;1;7;7;0;1;1;0;1
2020;658;0.0;1;1;1;1;7;7;0;0;1;0;1
2020;597;0.0;1;1;1;2;7;7;0;1;1;0;1
2020;785;435.0;2;1;1;9;1;1;0;0;0;1;0
2020;732;360.5;1;1;2;7;1;1;0;0;0;0;0
2020;679;311.5;2;1;1;1;5;5;0;0;0;0;0
1971;550;548.5;1;1;1;10;4;4;1;1;1;0;0
2020;405;224.5;1;1;1;1;1;1;0;1;1;0;1
1984;699;0.0;2;1;3;10;9;11;1;0;1;0;1
2020;626;289.5;1;1;1;3;1;7;0;0;0;0;1
2020;584;324.5;2;2;1;7;5;1;0;0;0;1;1
2020;775;0.0;1;1;1;2;7;7;0;1;1;0;1
2020;589;342.5;2;1;1;1;5;10;0;1;1;0;0
1975;391;454.5;2;1;1;8;4;4;0;0;0;0;0
2020;541;305.0;2;1;1;7;1;1;0;0;0;1;1
2020;803;517.5;2;2;2;6;7;9;0;0;0;0;0
1974;760;0.0;1;1;1;6;11;11;1;0;0;0;0
2020;559;432.0;1;1;1;3;7;7;0;0;0;0;0
2020;444;247.5;1;1;1;1;7;7;0;1;0;0;1
1994;562;257.5;1;1;1;4;7;7;0;0;0;0;1
1982;631;517.5;2;2;1;9;11;12;0;0;1;1;0
1972;433;0.0;1;1;1;4;6;8;1;0;1;0;0
1982;738;0.0;2;2;2;10;6;12;1;0;1;0;1
1978;570;0.0;2;2;1;10;6;12;1;0;1;1;1
1979;689;0.0;2;2;1;9;6;11;1;0;1;1;1
2020;573;318.0;1;1;1;1;5;5;0;0;0;0;1
2020;690;0.0;2;1;1;1;5;5;0;0;0;0;1
2020;775;0.0;1;2;1;4;6;6;0;0;0;1;0
2020;441;0.0;1;1;1;1;7;7;0;0;1;0;0
2020;419;347.0;1;1;1;1;5;5;0;0;0;0;1
2020;589;275.5;1;1;1;1;7;7;0;1;1;0;0
2020;552;391.5;1;1;1;1;7;7;0;0;0;0;1
2020;510;0.0;2;1;1;3;5;5;0;0;1;0;0
2004;391;415.0;1;2;2;7;4;4;0;0;1;1;1
2020;513;362.5;1;1;4;3;4;4;0;0;0;0;1
2020;739;0.0;1;1;1;1;5;4;0;1;1;0;1
1986;474;513.5;1;1;2;2;6;5;0;1;0;1;0
1976;624;651.0;1;2;2;9;11;11;1;0;0;1;1
2020;541;354.5;2;1;1;8;7;7;0;0;1;1;0
2020;435;340.5;1;1;1;1;5;5;0;1;1;0;1
2020;510;326.0;1;1;1;5;7;7;0;0;0;1;0
2020;785;440.5;1;1;2;9;7;7;0;0;1;1;0
2020;541;0.0;2;1;1;1;5;5;0;0;0;0;0
1973;348;593.5;1;1;1;3;7;7;0;1;0;1;1
1976;469;0.0;1;1;1;7;5;5;0;1;1;0;0
1982;807;732.5;2;2;2;10;6;11;1;0;1;1;1
1974;528;0.0;1;1;1;10;11;11;1;0;0;0;1
2020;679;0.0;2;1;2;6;1;6;0;0;0;1;0
2020;647;293.0;2;1;1;7;4;1;0;0;0;0;1
1988;792;0.0;2;1;2;9;11;11;1;0;1;0;1
1978;678;659.5;1;1;1;4;4;4;1;0;0;0;1
2020;541;309.5;1;1;1;7;5;5;0;0;0;1;1
1976;415;456.5;1;1;1;3;6;6;1;0;0;0;1
2019;817;0.0;1;1;1;1;4;4;0;0;1;0;0
2020;521;0.0;2;1;1;1;4;7;0;1;0;0;0
2020;775;0.0;2;1;1;8;5;5;0;0;1;1;0
2020;605;348.5;1;1;1;1;7;7;0;0;0;0;1
1979;732;546.5;2;1;1;3;4;8;1;0;0;0;0
1978;706;676.0;1;1;1;9;6;11;1;0;1;1;1
2020;562;304.5;1;1;1;1;5;5;0;0;0;0;1
2020;616;379.5;2;2;1;2;7;7;0;1;1;0;1
2020;690;424.5;2;2;1;8;5;5;0;0;0;1;0
2020;483;361.0;2;1;1;1;4;4;0;0;1;0;1
1986;398;0.0;2;1;1;2;6;5;1;0;1;0;0
2020;476;442.0;1;1;1;7;5;5;0;0;0;1;1
2020;499;0.0;1;1;1;1;7;7;0;0;1;0;1
2020;775;0.0;2;1;1;7;5;5;0;0;0;0;0
2020;497;423.5;2;1;1;1;4;4;0;1;0;0;0
1976;667;0.0;2;1;1;5;5;11;1;0;1;1;1
1979;341;516.5;1;1;1;10;2;1;0;0;1;1;0
2020;531;0.0;1;1;1;1;5;5;0;0;0;0;1
1986;699;734.5;1;2;4;10;6;6;1;0;1;1;1
2020;743;0.0;2;1;3;1;7;7;0;0;1;0;1
2020;711;340.0;2;1;1;10;6;6;0;0;1;0;1
1975;534;428.0;2;1;2;7;11;11;1;0;1;0;1
2004;626;400.0;2;1;1;1;6;6;0;0;0;1;1
1979;357;348.0;1;1;1;9;10;10;1;0;1;1;0
1976;346;492.0;1;1;1;1;1;4;0;0;0;0;0
1990;354;497.5;1;1;1;6;7;7;1;0;1;1;1
2020;541;311.5;1;1;1;1;7;7;0;0;0;0;1
2020;441;0.0;1;1;1;1;7;7;0;0;1;0;1
2020;521;334.0;2;1;1;1;5;1;0;0;0;0;0
1986;490;0.0;2;1;2;6;5;4;1;0;0;0;0
1984;341;374.5;2;1;2;1;1;10;0;0;0;0;1
2020;775;502.5;2;1;1;3;5;1;0;1;0;0;1
2020;497;228.5;1;1;1;1;7;7;0;1;1;0;0
2020;487;0.0;2;1;3;3;5;5;0;0;1;0;0
1992;460;0.0;2;1;1;1;4;7;0;0;0;0;0
2020;407;0.0;2;1;1;1;1;1;0;0;1;0;0
1984;506;0.0;2;1;1;7;6;8;0;0;0;0;1
1993;555;668.5;1;1;4;4;9;11;0;0;1;0;1
2020;521;459.5;2;2;1;5;5;5;0;0;1;1;1
1985;635;0.0;2;1;3;10;11;11;1;0;1;1;0
1984;706;0.0;2;3;1;10;6;11;1;0;1;1;1
1997;368;422.0;2;1;1;1;4;5;0;0;0;0;0
2005;711;489.0;1;1;1;3;6;8;0;1;1;1;1
2020;796;409.5;1;1;2;1;7;7;0;0;1;0;0
2020;658;0.0;2;1;1;1;5;7;0;0;0;0;1
2020;594;401.0;2;2;2;7;4;7;0;0;0;1;0
1976;538;583.0;1;1;1;1;6;6;1;0;0;0;1
1992;539;532.0;1;1;1;8;6;5;1;1;1;1;1
2020;541;0.0;1;1;1;1;1;1;0;0;1;0;1
2020;464;0.0;2;1;1;1;7;7;0;0;0;0;1
2020;552;0.0;1;1;1;1;7;7;0;0;0;0;1
2020;764;511.5;2;1;1;4;5;5;0;0;0;0;0
2020;785;402.0;2;1;4;2;1;4;0;0;0;0;0
1979;695;0.0;1;1;3;9;8;8;1;0;0;0;0
2020;616;354.0;1;1;1;3;1;1;0;0;0;1;1
2019;754;613.5;1;1;1;6;11;11;0;0;1;1;1
2020;722;340.0;2;1;2;4;5;6;0;0;1;0;0
2020;743;473.0;2;1;1;1;1;1;0;0;1;0;0
1993;391;547.0;2;1;1;3;7;7;0;0;0;0;0
1992;375;0.0;2;1;1;1;4;8;0;0;0;1;0
1981;792;676.0;1;1;2;10;11;11;1;0;1;1;1
2004;371;518.0;2;1;1;5;5;5;1;1;0;1;0
1993;426;0.0;2;2;1;4;6;6;1;0;1;1;1
2020;711;392.0;1;1;1;2;5;1;0;0;0;1;0
1994;483;448.5;2;1;1;5;6;6;0;0;0;1;0
2020;584;0.0;2;1;1;5;1;2;0;0;1;0;1
2020;417;380.5;1;2;1;5;7;7;0;1;0;1;0
2020;535;358.5;2;1;1;9;7;10;0;0;0;0;0
2020;732;310.0;2;1;2;7;4;4;0;0;0;0;1
2020;775;323.5;2;1;1;8;1;1;0;0;1;1;1
2020;467;207.0;1;1;1;5;2;2;0;1;0;0;1
2020;548;297.0;2;1;1;2;2;2;0;0;1;0;0
2020;807;332.5;2;1;1;7;5;5;0;0;0;0;0
2020;464;280.5;1;1;1;1;7;7;0;0;0;0;1
2020;582;0.0;1;1;1;1;7;7;0;1;1;0;0
1978;678;0.0;2;1;1;10;1;1;1;0;1;0;0
2020;807;425.0;1;1;2;3;4;4;1;0;1;1;1
2020;679;360.5;2;1;1;5;1;5;0;0;1;0;0
1981;469;516.5;1;1;1;3;4;1;1;1;0;1;0
1980;609;468.0;1;1;1;3;4;4;0;0;1;1;0
1978;559;0.0;2;3;1;9;6;6;1;0;1;1;1
1987;571;496.5;2;1;1;2;4;4;1;1;1;0;0
2020;689;412.0;2;1;1;4;5;5;0;1;0;1;0
2020;616;0.0;2;1;1;1;1;5;0;0;0;1;1
2020;626;359.0;1;1;1;1;7;7;0;0;0;0;0
2020;584;0.0;2;1;1;6;1;1;0;0;0;1;1
1982;641;0.0;2;1;1;10;6;6;1;0;1;1;1
2020;775;473.0;1;1;1;7;5;1;0;1;0;1;0
2020;562;319.0;1;1;1;1;7;7;0;0;0;0;1
1979;743;601.0;2;1;1;5;4;4;1;0;1;0;1
2020;510;0.0;1;1;1;7;5;5;0;0;0;0;1
1988;573;537.0;1;1;1;4;5;6;0;0;0;0;1
2020;700;215.0;2;1;1;8;7;7;0;0;0;1;1
1982;483;475.5;2;1;1;1;4;7;0;0;0;1;0
2020;669;0.0;2;1;2;2;1;1;0;0;0;1;0
2020;590;322.0;2;1;1;3;1;1;0;0;1;0;0
2020;764;410.0;2;1;1;2;5;5;0;0;1;0;0
2020;690;347.5;1;1;1;4;6;7;0;0;1;1;1
1979;456;516.5;2;1;1;3;7;6;0;0;0;0;1
1979;469;620.5;1;1;1;8;11;6;1;1;0;1;1
2020;732;0.0;2;2;1;9;4;7;0;0;0;1;1
2020;510;374.0;1;1;1;1;5;5;0;0;0;0;1
1990;771;0.0;2;2;1;10;11;6;1;0;1;1;0
1980;437;0.0;1;1;1;6;4;5;0;0;0;0;1
1998;472;462.5;2;1;1;1;7;6;1;0;0;1;1
2020;525;366.5;1;1;1;1;1;1;0;1;1;1;1
1985;559;0.0;2;1;2;3;6;6;1;0;0;1;0
2020;700;416.5;1;1;1;6;5;5;0;0;1;1;0
1999;487;435.5;2;1;1;5;6;7;0;0;0;1;1
2020;521;416.5;2;1;2;8;5;1;0;0;1;1;0
2020;732;469.0;1;1;1;5;4;4;0;0;0;1;1
1984;534;0.0;2;1;1;6;6;7;0;0;1;0;0
2020;637;0.0;1;1;1;3;5;7;0;0;1;1;1
2020;562;341.0;2;1;1;1;7;7;0;0;0;0;0
2020;584;407.5;2;1;2;1;4;2;0;0;1;1;1
1980;368;0.0;1;2;1;3;7;6;1;0;0;1;0
1983;364;435.0;1;2;1;9;6;6;0;0;0;1;0
2020;658;383.5;2;1;2;3;1;6;0;0;0;0;1
1982;523;0.0;1;1;1;5;6;6;1;0;1;0;0
1994;598;613.0;1;1;1;3;11;11;1;0;1;0;1
2020;775;0.0;2;1;1;3;5;5;0;0;0;1;0
1980;549;505.5;2;2;1;4;7;7;1;0;0;1;1
2020;722;286.5;2;2;1;8;1;1;0;0;0;0;0
1986;490;586.5;1;2;2;9;2;6;1;0;1;1;0
2020;732;333.5;2;1;1;3;1;1;0;0;0;1;0
2020;626;395.0;1;1;1;1;7;7;0;0;0;0;1
2020;669;389.5;1;1;1;1;7;7;0;0;0;0;1
2020;407;318.0;1;1;1;1;5;5;0;0;0;0;1
1981;501;582.0;1;1;1;2;4;6;1;0;0;0;0
2020;573;0.0;2;1;1;8;1;1;0;0;1;0;1
2020;700;0.0;2;1;1;5;5;6;0;0;0;1;0
2020;652;437.5;1;1;1;1;7;7;0;0;0;0;0
2020;541;518.5;1;1;1;2;5;7;0;0;1;0;1
2020;471;442.0;2;1;1;8;5;6;0;0;1;1;1
2020;626;461.5;2;1;1;3;5;5;0;0;1;0;1
2020;632;442.0;2;1;1;8;4;4;0;0;0;1;1
1980;479;569.0;2;1;1;7;6;5;1;0;0;1;0
2020;373;0.0;1;1;1;8;4;4;0;0;0;0;1
1982;592;0.0;1;1;1;10;6;6;1;0;0;1;1
2020;430;331.0;2;3;1;1;6;6;0;0;1;0;0
2020;391;292.0;1;1;1;4;4;6;0;0;0;1;0
1981;667;826.0;1;2;1;10;8;8;1;0;1;1;0
1992;641;0.0;2;3;1;9;11;11;1;0;1;1;1
2007;675;553.0;1;1;1;1;6;6;1;0;0;0;1
2020;690;0.0;1;1;1;8;1;1;0;0;1;1;1
2020;700;0.0;2;3;1;7;6;4;0;0;0;0;0
1982;544;635.0;2;1;1;9;6;11;1;0;0;1;0
2020;476;0.0;2;1;1;2;1;4;0;0;0;0;0
2020;594;424.5;1;1;2;3;6;6;0;0;1;0;1
2020;584;0.0;1;1;1;10;5;5;0;0;0;0;1
2020;785;369.5;2;1;1;6;7;7;0;0;0;1;1
1982;652;659.0;1;1;1;2;4;4;0;0;0;0;0
1981;696;0.0;2;2;1;10;6;6;1;0;1;0;1
2020;535;385.5;2;1;1;2;1;4;0;0;0;0;1
1995;609;584.0;2;1;1;9;6;6;1;0;1;1;0
2000;433;0.0;2;1;1;3;11;7;0;0;0;1;0
2020;669;0.0;1;1;1;1;7;7;0;0;1;0;1
1984;577;0.0;1;1;1;5;6;4;1;0;0;0;1
1985;391;0.0;1;1;1;8;5;10;0;0;0;1;0
2020;541;0.0;2;1;1;1;7;7;0;0;1;0;0
